faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP,https://www.uow.edu.au/engineering-information-sciences/
Science,9537,3,Cluster 3 CSP,https://www.uow.edu.au/engineering-information-sciences/
Business,17399,3,Cluster 1 CSP,https://www.uow.edu.au/business-law/
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.uow.edu.au/arts-society-business/
Law,17399,4,Cluster 1 CSP,https://www.uow.edu.au/business-law/
Education,4738,4,Cluster 2 CSP,https://www.uow.edu.au/arts-society-business/
IT & Computing,9537,3,Cluster 2 CSP,https://www.uow.edu.au/engineering-information-sciences/
Health Sciences,9537,3,Cluster 2 CSP,https://www.uow.edu.au/smah/
Creative Arts,9537,3,Cluster 2 CSP,https://www.uow.edu.au/arts-society-business/
