faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-law-and-business
Science,9537,3,Cluster 3 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-health-sciences
Business,17399,3,Cluster 1 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-law-and-business
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-education-and-arts
Law,17399,4,Cluster 1 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-law-and-business
Education,4738,4,Cluster 2 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-education-and-arts
IT & Computing,9537,3,Cluster 2 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-law-and-business
Health Sciences,9537,3,Cluster 2 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-health-sciences
Creative Arts,9537,3,Cluster 2 CSP,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-education-and-arts
