faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP; BE (Hons),https://www.mq.edu.au/faculty-of-science-and-engineering
Science,9537,3,Cluster 3 CSP,https://www.mq.edu.au/faculty-of-science-and-engineering
Business,17399,3,Cluster 1 CSP,https://www.mq.edu.au/faculty-of-business-and-economics
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.mq.edu.au/faculty-of-arts
Law,17399,4,Cluster 1 CSP,https://www.mq.edu.au/faculty-of-law
Education,4738,4,Cluster 2 CSP,https://www.mq.edu.au/faculty-of-arts
IT & Computing,9537,3,Cluster 2 CSP,https://www.mq.edu.au/faculty-of-science-and-engineering
Health Sciences,9537,3,Cluster 2 CSP,https://www.mq.edu.au/faculty-of-medicine-health-and-human-sciences
Creative Arts,9537,3,Cluster 2 CSP,https://www.mq.edu.au/faculty-of-arts
