faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP,https://www.scu.edu.au/study/engineering/
Science,9537,3,Cluster 3 CSP,https://www.scu.edu.au/study/science-and-environment/
Business,17399,3,Cluster 1 CSP,https://www.scu.edu.au/study/business/
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.scu.edu.au/study/arts-and-humanities/
Law,17399,4,Cluster 1 CSP,https://www.scu.edu.au/study/law/
Education,4738,4,Cluster 2 CSP,https://www.scu.edu.au/study/education/
IT & Computing,9537,3,Cluster 2 CSP,https://www.scu.edu.au/study/information-technology/
Health Sciences,9537,3,Cluster 2 CSP,https://www.scu.edu.au/study/health/
Creative Arts,9537,3,Cluster 2 CSP,https://www.scu.edu.au/study/arts-and-humanities/
